name	region	
KEXV01012055|Brazil|MatoGrossoDoSul|2014-01-15	Centro-Oeste-BR	
KEXV01005205|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509159|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509156|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
KEXV01005224|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509109|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
KEXV01005243|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509150|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509149|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509094|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509146|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509136|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509165|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509102|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509135|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509119|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509122|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509093|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
MN509115|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
KEXV01012115|Brazil|MatoGrosso|2014-01-15	Centro-Oeste-BR	
KEXV01002494|Brazil|DistritoFederal|2015-01-15	Centro-Oeste-BR	
KEXV01002519|Brazil|DistritoFederal|2015-01-15	Centro-Oeste-BR	
KEXV01012092|Brazil|MatoGrossoDoSul|2015-01-15	Centro-Oeste-BR	
KEXV01002657|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KX888211|Brazil|MatoGrossoDoSul|2015-01-15	Centro-Oeste-BR	
KEXV01002437|Brazil|DistritoFederal|2015-01-15	Centro-Oeste-BR	
KEXV01002453|Brazil|DistritoFederal|2015-01-15	Centro-Oeste-BR	
KEXV01002504|Brazil|DistritoFederal|2015-01-15	Centro-Oeste-BR	
KEXV01002632|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KX888207|Brazil|MatoGrossoDoSul|2015-01-15	Centro-Oeste-BR	
KEXV01012175|Brazil|MatoGrosso|2015-01-15	Centro-Oeste-BR	
KEXV01002654|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002510|Brazil|DistritoFederal|2015-01-15	Centro-Oeste-BR	
KEXV01002659|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002594|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002637|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002626|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002524|Brazil|DistritoFederal|2015-01-15	Centro-Oeste-BR	
KEXV01002506|Brazil|DistritoFederal|2015-01-15	Centro-Oeste-BR	
KEXV01002660|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002643|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002550|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002604|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01002607|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01012080|Brazil|MatoGrossoDoSul|2015-01-15	Centro-Oeste-BR	
KEXV01012088|Brazil|MatoGrossoDoSul|2015-01-15	Centro-Oeste-BR	
KEXV01002630|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01012181|Brazil|MatoGrosso|2015-01-15	Centro-Oeste-BR	
KEXV01002602|Brazil|Goias|2015-01-15	Centro-Oeste-BR	
KEXV01012191|Brazil|MatoGrosso|2015-01-15	Centro-Oeste-BR	
